company_name,original_website,final_url,redirected,domain_changed,merger_indicators,status,confidence,notes,acquirer_name,announcement_link
ErisX,https://erisx.com/,https://www.erisx.com/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.erisx.com/news/
Coinify,https://www.coinify.com,https://www.coinify.com/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.coinify.com/news/accept-crypto-payments-anywhere-with-coinifys-pay-by-link-solution
GRIID,https://www.griid.com/,https://www.griid.com/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Arbelos Markets,https://arbelos.xyz/,https://arbelos.xyz/,False,False,Acquisition détectée: 'now part of' | Acquéreur: falconx. together | Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.8,Site accessible avec mots-clés d'acquisition,falconx. together,https://www.prnewswire.com/news-releases/falconx-expands-global-derivatives-footprint-with-acquisition-of-arbelos-markets-302341536.html
Bison Trails,https://bisontrails.co/,https://www.coinbase.com/cloud,True,True,Redirection significative: bisontrails.co → www.coinbase.com/cloud | Lien acquisition trouvé via Google,CLOSED,0.8999999999999999,Redirection vers domaine différent,,https://www.linkedin.com/company/bison-trails-acquired-by-coinbase?trk=similar-pages
Bware Labs,https://bwarelabs.com/,https://bwarelabs.com/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://bwarelabs.com/blog
Sepior,https://sepior.com/,https://www.blockdaemon.com/,True,True,Redirection significative: sepior.com → www.blockdaemon.com | Lien d'annonce trouvé sur la page | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://www.blockdaemon.com/blog/blockdaemon-acquires-leading-data-digital-asset-security-firm-sepior
Shipyard Software,https://shipyardsoftware.org/,https://www.shipyardsoftware.org/,True,False,Acquisition détectée: 'acquired by' | Acquéreur: sushi labs | Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.8,Site accessible avec mots-clés d'acquisition,sushi labs,https://www.shipyardsoftware.org/press
Multis,https://multis.com,https://multis.com/,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Erreur 404,,https://www.theblock.co/post/288303/sequoia-backed-crypto-treasury-management-platform-multis-acquired-by-safe
ZenSports,http://zensports.com/,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://www.globenewswire.com/news-release/2022/10/10/2531132/0/en/KeyStar-Corp-Completes-Acquisition-of-ZenSports-and-Ultimate-Gamer-Assets.html
